"id","altura","genero","contextura_madre","altura_madre"
114,174,"M","alta",165.7
115,173.3,"M","bajita",154.4
116,174.6,"M","mediana",158
117,174.8,"M","mediana",160.2
118,171.4,"M","bajita",155.1
119,175.9,"M","mediana",161.8
120,154.9,"F","mediana",157.7
121,173.6,"M","alta",163.3
122,155.7,"F","mediana",160
123,158.8,"F","mediana",158.7
124,158.7,"F","mediana",160.1
125,171.1,"M","bajita",155.1
126,156.3,"F","bajita",155.7
127,170.3,"M","mediana",157.6
128,176.4,"M","alta",166.5
129,170.9,"M","alta",162.4
130,175.3,"M","bajita",154.3
131,176.2,"M","alta",163.3
132,158,"F","mediana",157.1
133,160.3,"F","mediana",156.7
134,174.8,"M","mediana",161.5
135,172.2,"M","mediana",157
136,171.2,"M","mediana",159.3
137,161.9,"F","mediana",160.9
138,151.8,"F","bajita",154.1
139,178.3,"M","mediana",161.3
140,159.9,"F","alta",162.6
141,154.9,"F","mediana",159.4
142,159.7,"F","mediana",158.2
143,165.6,"F","mediana",158.1
144,158.3,"F","bajita",153.2
145,158.1,"F","mediana",159.8
146,173.5,"M","mediana",160.4
147,171.8,"M","mediana",158.9
148,161.4,"F","mediana",160.1
149,173.7,"M","mediana",162
150,174.7,"M","mediana",160
151,167.4,"M","bajita",155.4
152,157,"F","bajita",153.4
153,166.8,"M","mediana",156.8
154,174.9,"M","mediana",156.4
155,171.6,"M","mediana",160.2
156,170.9,"M","mediana",160.6
157,171.5,"M","bajita",155.2
158,171.8,"M","mediana",157.7
159,173.9,"M","alta",163
160,171.3,"M","mediana",158.9
161,170.5,"M","mediana",160.6
162,170.2,"M","mediana",156.5
163,168.8,"M","bajita",153.2
164,168.6,"M","mediana",161.3
165,156.5,"F","mediana",157
166,179.1,"M","alta",162.6
167,169.9,"M","mediana",160.1
168,165.4,"F","alta",165.3
169,164.8,"F","mediana",159.1
170,175.1,"M","mediana",156.8
171,173,"M","alta",164.8
172,175.7,"M","alta",164.2
173,176.7,"M","mediana",160.3
174,170.5,"M","mediana",157.4
175,158.8,"F","alta",163.9
176,171.1,"M","mediana",157.9
177,175.5,"M","mediana",161.1
178,159.4,"F","mediana",156.2
179,157.3,"F","bajita",155.6
180,158.5,"F","mediana",159.8
181,172.4,"M","mediana",159.3
182,175.7,"M","alta",164.5
183,171.1,"M","mediana",156.8
184,173.9,"M","mediana",156.4
185,156.3,"F","bajita",155.5
186,171.1,"M","mediana",157.3
187,154.9,"F","alta",164.2
188,176.7,"M","mediana",159
189,159.3,"F","alta",162.1
190,170.5,"M","bajita",155.1
191,169.1,"M","mediana",158.7
192,159,"F","mediana",159.2
193,160.3,"F","alta",164.1
194,169.6,"M","mediana",158.7
195,171,"M","mediana",159.3
196,179.8,"M","alta",166
197,157.7,"F","mediana",160.4
198,162.5,"F","mediana",160.9
199,159.4,"F","mediana",159.5
200,175.3,"M","mediana",161.2
201,162.5,"F","mediana",158.5
202,175.5,"M","mediana",156.4
203,156.6,"F","mediana",157.9
204,158.5,"F","mediana",161.3
205,157.1,"F","bajita",155.8
206,158,"F","alta",163.4
207,173,"M","bajita",155.6
208,162.2,"F","alta",165.5
209,173.5,"M","mediana",160.2
210,174.1,"M","mediana",160
211,159.8,"F","mediana",158.9
212,164.8,"F","mediana",159.9
213,173.2,"M","mediana",157.2
214,158.4,"F","mediana",158.5
215,162.1,"F","alta",163.3
216,160.3,"F","mediana",157.8
217,152.9,"F","mediana",161.3
218,159.3,"F","mediana",161.1
219,169,"M","bajita",155.2
220,168.7,"M","bajita",155.8
221,168,"M","bajita",151.7
222,158.2,"F","mediana",156.6
223,172.3,"M","mediana",159.4
224,161.1,"F","alta",163.8
225,160.9,"F","mediana",159.5
226,156,"F","mediana",160.7
227,159.8,"F","mediana",158.7
228,176.9,"M","mediana",161.3
229,173.9,"M","alta",163.6
230,172.1,"M","mediana",156.1
231,161.9,"F","alta",163.9
232,157.5,"F","mediana",160.5
233,177,"M","alta",162.6
234,157.8,"F","mediana",158.7
235,170.6,"M","mediana",158.4
236,158.3,"F","mediana",161.5
237,157.5,"F","mediana",156.3
238,162.6,"F","alta",164
239,157.6,"F","mediana",161.3
240,164.2,"F","alta",168.5
241,157,"F","mediana",156.8
242,174.8,"M","mediana",159
243,156.5,"F","alta",162.4
244,156.7,"F","bajita",154.4
245,171.3,"M","mediana",159.1
246,170.1,"M","mediana",157.3
247,175,"M","mediana",159.1
248,160.6,"F","alta",164.3
249,160.8,"F","mediana",159.4
250,173.6,"M","mediana",160.8
251,175.7,"M","alta",162.7
252,160.6,"F","mediana",157.9
253,172.1,"M","mediana",161.5
254,176.1,"M","alta",162.9
255,172.2,"M","mediana",160.2
256,179.1,"M","alta",162.3
257,170.5,"M","mediana",158.3
258,174.3,"M","mediana",161.4
259,160.3,"F","mediana",161.9
260,159.2,"F","bajita",155.6
261,157.2,"F","mediana",158.3
262,161.6,"F","alta",164.3
263,159.2,"F","mediana",158.6
264,163.2,"F","mediana",160.3
265,175.6,"M","mediana",157.7
266,157.4,"F","mediana",158.9
267,161.2,"F","mediana",160.8
268,157.8,"F","alta",163.9
269,168.2,"M","mediana",158.5
270,160.6,"F","mediana",161.9
271,160.8,"F","mediana",161.3
272,159,"F","mediana",157.1
273,171.6,"M","mediana",159.9
274,174.8,"M","alta",163.2
275,156.3,"F","mediana",156.3
276,156.2,"F","mediana",159.7
277,157.4,"F","mediana",158.1
278,178.8,"M","alta",164.3
279,163.6,"F","mediana",156.3
280,160.7,"F","mediana",157.4
281,163.2,"F","mediana",160.1
282,163,"F","alta",168.6
283,158.8,"F","bajita",155.3
284,160,"F","mediana",159.3
285,176.3,"M","mediana",157
286,160.9,"F","bajita",155.3
287,171.3,"M","mediana",157.4
288,174.3,"M","alta",163.8
289,173.7,"M","bajita",155.1
290,177.9,"M","alta",166.2
291,158.3,"F","alta",162.1
292,158.2,"F","bajita",155.3
293,157.8,"F","mediana",158.8
294,153.8,"F","mediana",161.9
295,172.7,"M","mediana",157.4
296,158,"F","alta",162.4
297,174.6,"M","mediana",157.5
298,165.8,"M","bajita",155
299,176.4,"M","mediana",159.5
300,155.3,"F","mediana",159.6
301,164.5,"F","mediana",160
302,161.1,"F","mediana",157.6
303,166.9,"M","mediana",157
304,157,"F","mediana",159.6
305,171.5,"M","bajita",155.7
306,172.8,"M","alta",162.5
307,172.2,"M","mediana",161.7
308,170.6,"M","mediana",157.5
309,157.8,"F","mediana",157.6
310,159.9,"F","mediana",160.8
311,176,"M","mediana",158.6
312,159.7,"F","mediana",156.6
313,170.3,"M","mediana",159.2
314,157.5,"F","mediana",156
315,157.1,"F","mediana",158.1
316,157.7,"F","alta",162.3
317,158.2,"F","mediana",161.2
318,171.4,"M","mediana",158.3
319,163.1,"F","mediana",161.7
320,174.6,"M","mediana",157.8
321,158.8,"F","mediana",159.6
322,170.6,"M","mediana",158.8
323,161.1,"F","alta",163.9
324,154.7,"F","mediana",157
325,158.8,"F","mediana",156.8
326,163.4,"F","alta",162.7
327,160.2,"F","alta",162.4
328,174.8,"M","mediana",159.3
329,170.6,"M","mediana",159.3
330,174.3,"M","mediana",157.4
331,158.8,"F","mediana",158.2
332,158.5,"F","mediana",157.7
333,160.5,"F","mediana",159.6
334,172.4,"M","mediana",159.2
335,176.6,"M","alta",162.6
336,156.1,"F","mediana",159.6
337,154.7,"F","mediana",159.2
338,163.1,"F","mediana",160
339,170.5,"M","mediana",156.2
340,160.9,"F","mediana",161.9
341,161.2,"F","mediana",158.5
342,173.5,"M","mediana",159.3
343,171.4,"M","mediana",158.8
344,173.2,"M","mediana",160.4
345,175.7,"M","mediana",161.6
346,157.7,"F","bajita",155.3
347,173.5,"M","alta",162.3
348,158.9,"F","mediana",159.8
349,178.2,"M","mediana",160.9
350,167.6,"M","mediana",156.8
351,168.9,"M","mediana",160.3
352,159,"F","mediana",157.3
353,169.1,"M","mediana",156.4
354,160.9,"F","mediana",157.8
355,154.9,"F","bajita",154.8
356,168.9,"M","mediana",157.4
357,174.2,"M","mediana",159
358,169.8,"M","alta",162.8
359,171.8,"M","mediana",159.2
360,159.1,"F","bajita",154.5
361,171.9,"M","mediana",157.7
362,169.1,"M","bajita",152.2
363,176.7,"M","alta",163.6
364,172,"M","bajita",154.2
365,175.1,"M","mediana",160.3
366,175.8,"M","mediana",161.4
367,173.6,"M","alta",164.3
368,158.7,"F","alta",164.5
369,168,"M","bajita",154.6
370,170.2,"M","mediana",156.2
371,172.6,"M","mediana",157
372,172.9,"M","mediana",158.2
373,160.7,"F","mediana",158.3
374,155.2,"F","mediana",159.2
375,163.3,"F","mediana",161.4
376,160.1,"F","alta",162.1
377,159.6,"F","mediana",157.2
378,155.9,"F","mediana",160.6
379,157.3,"F","bajita",153.8
380,155.2,"F","bajita",153.7
381,157.2,"F","mediana",157.6
382,170.7,"M","mediana",160.4
383,166.4,"M","bajita",155.5
384,175.3,"M","mediana",160.8
385,153.6,"F","mediana",157.1
386,173.6,"M","mediana",158.6
387,162.7,"F","mediana",158.2
388,157.3,"F","mediana",157.8
389,157.3,"F","mediana",156.1
390,181.3,"M","alta",165.6
391,167.8,"M","bajita",154.1
392,172.7,"M","mediana",158.4
393,167.7,"M","mediana",158.6
394,174.5,"M","alta",165.4
395,158.1,"F","alta",164.3
396,161.8,"F","alta",162.5
397,163.9,"F","alta",162.5
398,159.5,"F","alta",163.4
399,174.2,"M","mediana",159.5
400,159.1,"F","mediana",156.6
401,161.2,"F","mediana",156.5
402,153.6,"F","mediana",158.5
403,164.8,"F","mediana",162
404,159.4,"F","alta",162.4
405,157.8,"F","mediana",159.8
406,159.7,"F","mediana",158
407,171.1,"M","mediana",161.1
408,157.9,"F","mediana",158.7
409,170.6,"M","mediana",159.9
410,159.9,"F","bajita",152.7
411,167.5,"M","bajita",151.1
412,172.6,"M","mediana",157.4
413,156.8,"F","mediana",156.8
414,164.8,"M","bajita",155.2
415,169.6,"M","mediana",159.3
416,154.9,"F","mediana",159.1
417,158.4,"F","mediana",156.2
418,163.6,"F","mediana",160
419,175.9,"M","mediana",158.4
420,171.9,"M","alta",163.8
421,173.9,"M","mediana",157.8
422,176.4,"M","alta",165.5
423,161.8,"F","mediana",159.7
424,174.9,"M","mediana",159.4
425,169.1,"M","bajita",154.9
426,174,"M","mediana",157.5
427,158.5,"F","mediana",161.4
428,158.9,"F","mediana",158
429,158.9,"F","mediana",157.5
430,158.7,"F","mediana",159.3
431,171.2,"M","mediana",157
432,160.6,"F","alta",162.6
433,160.8,"F","alta",165.6
434,170.9,"M","mediana",156.6
435,163.6,"F","alta",163.9
436,159,"F","mediana",158.4
437,170,"M","mediana",157.8
438,158.2,"F","mediana",160
439,154.9,"F","mediana",157.2
440,158,"F","mediana",159.1
441,179.1,"M","alta",165.8
442,158.2,"F","bajita",154
443,155.9,"F","mediana",156.1
444,162.5,"F","mediana",157
445,170.4,"M","mediana",158.5
446,155.3,"F","mediana",161.7
447,159.5,"F","mediana",160.8
448,157.9,"F","alta",162.4
449,168.2,"M","bajita",155.4
450,160.8,"F","mediana",158.2
451,159.2,"F","alta",162.6
452,162.7,"F","mediana",159.2
453,170.6,"M","mediana",156.8
454,158.1,"F","mediana",160.1
455,175.7,"M","mediana",159.2
456,170.8,"M","mediana",161
457,174.6,"M","mediana",158.6
458,158.9,"F","mediana",161.2
459,174.4,"M","alta",162.5
460,161.8,"F","mediana",160.1
461,162.9,"F","mediana",156.9
462,169,"M","mediana",158.2
463,174.6,"M","alta",166.7
464,175.6,"M","alta",164.8
465,172.2,"M","alta",164
466,171.7,"M","bajita",155.6
467,173.5,"M","mediana",160.7
468,173.6,"M","mediana",158.6
469,162.7,"F","mediana",161
470,155.7,"F","bajita",154.9
471,162.9,"F","mediana",157.4
472,157.6,"F","mediana",156.8
473,161.6,"F","alta",163.1
474,173.1,"M","alta",165.3
475,161.5,"F","mediana",160.9
476,174.6,"M","mediana",159.3
477,159.8,"F","mediana",156.8
478,176,"M","alta",162.3
479,173.7,"M","bajita",154.5
480,158.2,"F","bajita",154.8
481,170.8,"M","bajita",155.5
482,172.6,"M","mediana",157
483,156.6,"F","bajita",155.3
484,171.2,"M","mediana",159.2
485,160.6,"F","alta",164.6
486,162.2,"F","mediana",161
487,169.5,"M","mediana",157.3
488,177.5,"M","mediana",159.3
489,169.7,"M","mediana",156
490,155,"F","bajita",152.5
491,171.3,"M","mediana",157.2
492,156.1,"F","mediana",157.5
493,161,"F","alta",163.5
494,178.8,"M","alta",168.2
495,172,"M","mediana",160.6
496,157.4,"F","mediana",157.4
497,171.6,"M","mediana",159.4
498,155.1,"F","mediana",158.3
499,157.5,"F","bajita",155.4
500,159.2,"F","mediana",158.4
